Mode,NLC,ASC,Station,Coverage,Source,Mon-Thu Entries,Fri Entries,Sat Entries,Sun Entries,Mon-Thu Exits,Fri Exits,Sat Exits,Sun Exits,En/Ex
LU,698,SVSu,Seven Sisters,Station entry / exit,Gateline,17156,18200,15130,11294,16807,17214,14343,10955,7364300
LU,700,SBCu,Shepherd's Bush LU,Station entry / exit,Gateline,17221,18441,19128,12404,16202,17142,17505,11333,7584135
LU,775,SBMu,Shepherd's Bush Market,Station entry / exit,Gateline,3837,4213,3969,2304,3659,3844,3569,2265,1656236
LU,702,SSQu,Sloane Square,Station entry / exit,Gateline,17263,17252,15356,9790,17237,17391,15911,9765,7380128
LU,703,SNBu,Snaresbrook,Station entry / exit,Gateline,2702,2585,2108,1330,2566,2395,1928,1406,1083968
LU,704,SELu,South Ealing,Station entry / exit,Gateline,3560,3627,2888,1917,3564,3451,2848,2047,1495186
LU,707,SHRu,South Harrow,Station entry / exit,Gateline,2409,2410,1807,1227,2518,2481,1795,1268,1013772
LU,708,SKNu,South Kensington,Station entry / exit,Gateline,24347,25157,23718,17939,23982,25626,24357,17648,10824383
LU,709,SKTu,South Kenton,Station entry / exit,Scaled,1330,1422,1204,772,1611,1864,1076,867,626386
LU,710,SRPu,South Ruislip,Station entry / exit,Gateline,2174,2159,1635,1109,2132,2064,1577,1129,888276
LU,711,SWMu,South Wimbledon,Station entry / exit,Gateline,4714,4614,3785,2563,4582,4387,3568,2561,1937293
LU,712,SWFu,South Woodford,Station entry / exit,Gateline,5614,5505,4617,2898,5864,5567,4555,3027,2380524
LU,705,SFSu,Southfields,Station entry / exit,Gateline,6717,6329,5390,3396,6433,5714,4789,3404,2695552
LU,706,SGTu,Southgate,Station entry / exit,Gateline,5180,5460,4618,3275,5525,5673,4690,3478,2312226
LU,784,SWKu,Southwark,Station entry / exit,Gateline,12165,10764,8750,6005,12741,11676,9618,5998,5034192
LU,695,SJPu,St. James's Park,Station entry / exit,Gateline,10244,8305,5216,3768,10461,8707,5504,3833,3901970
LU,696,SJWu,St. John's Wood,Station entry / exit,Gateline,8395,8436,5877,4047,8601,8461,5860,4227,3464027
LU,697,STPu,St. Paul's,Station entry / exit,Gateline,13696,11715,8457,5553,14064,12074,8374,5085,5359932
LU,713,STBu,Stamford Brook,Station entry / exit,Gateline,2963,2950,2480,1653,2880,2710,2271,1624,1223866
LU,714,STAu,Stanmore,Station entry / exit,Gateline,3942,4099,3730,2358,4083,4003,3464,2599,1729034
LU,715,STGu,Stepney Green,Station entry / exit,Gateline,6604,6914,4832,3429,6522,6464,4469,3375,2707641
LU,716,STKu,Stockwell,Station entry / exit,Gateline,10931,11599,10691,7425,9920,10144,9445,7027,4614856
LU,717,SPKu,Stonebridge Park,Station entry / exit,Gateline,3162,3150,2053,1322,3036,2932,1914,1310,1237627
LU,719,SFDu,Stratford,Station entry / exit,Gateline,62497,67115,71770,48381,63636,68763,72426,48352,29106619
LU,720,SHLu,Sudbury Hill,Station entry / exit,Gateline,2189,2172,1564,969,2211,2157,1478,997,889529
LU,721,STNu,Sudbury Town,Station entry / exit,Gateline,2118,2114,1617,1082,1937,1867,1402,1002,835671
LU,723,SWCu,Swiss Cottage,Station entry / exit,Gateline,7382,7282,5612,3781,7190,6885,5303,3727,3001198
LU,724,TEMu,Temple,Station entry / exit,Gateline,7595,6735,4320,2452,8346,8160,4864,2693,3070900
LU,725,THBu,Theydon Bois,Station entry / exit,Gateline,1012,1024,930,526,975,948,897,566,423967
LU,726,TBEu,Tooting Bec,Station entry / exit,Gateline,8731,8830,7924,5014,8216,7757,6914,5103,3610529
LU,727,TBYu,Tooting Broadway,Station entry / exit,Gateline,16094,17008,14569,9305,16124,16105,13551,9294,6892544
LU,728,TCRu,Tottenham Court Road,Station entry / exit,Gateline,34316,35648,44163,24047,34647,38423,43807,23634,16036231
LU,729,TTHu,Tottenham Hale LU,Station entry / exit,Gateline,16153,16934,15214,13331,15704,16546,14189,11801,7115066
LU,730,TOTu,Totteridge & Whetstone,Station entry / exit,Gateline,2607,2570,2102,1311,2528,2462,1954,1303,1064853
LU,731,THLu,Tower Hill,Station entry / exit,Gateline,15552,16468,18125,12759,15811,17701,19408,11994,7328488
LU,733,TPKu,Tufnell Park,Station entry / exit,Gateline,3653,3748,3599,2403,3413,3168,3184,2276,1540273
LU,734,TGRu,Turnham Green,Station entry / exit,Gateline,6088,6236,5375,3816,6248,6390,5439,3977,2661114
LU,735,TPLu,Turnpike Lane,Station entry / exit,Gateline,10221,10765,9621,6942,10346,10469,9048,6973,4494164
LU,736,UPMu,Upminster,Station entry / exit,Gateline,5466,5185,4085,2278,5513,5191,4000,2392,2214271
LU,737,UPBu,Upminster Bridge,Station entry / exit,Gateline,1427,1237,495,288,1403,1244,484,308,507765
LU,738,UPYu,Upney,Station entry / exit,Gateline,3269,3210,2045,1341,3001,2870,1817,1237,1241844
LU,739,UPKu,Upton Park,Station entry / exit,Gateline,11856,11565,8904,6062,11437,10865,8333,5965,4784244
LU,740,UXBu,Uxbridge,Station entry / exit,Gateline,8560,8856,6312,3911,8491,8355,5901,4039,3486758
LU,777,VUXu,Vauxhall LU,Station entry / exit,Gateline,32213,33764,29566,20585,30472,30516,27108,20239,13623576
LU,741,VICu,Victoria LU,Station entry / exit,Gateline,73591,77402,76219,52526,76355,77247,74958,55658,33480926
LU,742,WALu,Walthamstow Central,Station entry / exit,Gateline,18397,18809,16383,11064,18440,18434,15956,11411,7906474
LU,743,WANu,Wanstead,Station entry / exit,Gateline,2668,2689,2446,1654,2822,2853,2463,1697,1181072
LU,745,WSTu,Warren Street,Station entry / exit,Gateline,17843,16431,9750,6907,18688,17498,9706,6713,7038704
LU,746,WARu,Warwick Avenue,Station entry / exit,Gateline,3987,4057,3458,2296,3863,3727,3300,2443,1673860
LU,747,WLOu,Waterloo LU,Station entry / exit,Gateline,66906,68781,71410,41205,67295,69060,72898,44255,29868623
LU,748,WATu,Watford,Station entry / exit,Gateline,2441,2381,1426,874,2433,2412,1447,898,955674
LU,751,WEMu,Wembley Central,Station entry / exit,Gateline,6162,6257,5557,3516,6511,6699,5677,3605,2708193
